sms_text,account_no,reference_id,amount,txn_type,date,merchant,category,bank
"Dear SBI User, your A/c X1561-credited by Rs.7242.94 on 05Oct26 transfer from GROWW INVESTMENTS Ref No 160035919991 -SBI",X1561,160035919991,7242.94,Credit,05Oct26,NaN,Miscellaneous,SBI
"Dear KOTAK User, your A/c X8029-credited by Rs.39237.38 on 07Jan26 transfer from GOOGLE INDIA DIGITAL SERVICES PVT LTD Ref No 750597957693 -PNB",X8029,750597957693,39237.38,Credit,07Jan26,NaN,Miscellaneous,PNB
UPI Txn Successful. Rs.16636.00 debited from A/c XX1675 towards COURSERA LEARNING Ref 312190874192,XX1675,312190874192,16636.00,Debit,NaN,NaN,Miscellaneous,NaN
"Dear HDFC User, your A/c X1226-credited by Rs.37361.45 on 18Jun26 transfer from CRED PAYMENTS Ref No 656413082785 -ICICI",X1226,656413082785,37361.45,Credit,18Jun26,NaN,Miscellaneous,HDFC
"Dear SBI User, your A/c X9741-credited by Rs.42132.88 on 26Apr26 transfer from SPOTIFY INDIA Ref No 285437929040 -ICICI",X9741,285437929040,42132.88,Credit,26Apr26,NaN,Miscellaneous,SBI
"Dear AXIS User, your A/c X8363-credited by Rs.23602.63 on 21Feb26 transfer from ANGEL ONE LIMITED Ref No 302692276551 -KOTAK",X8363,302692276551,23602.63,Credit,21Feb26,NaN,Miscellaneous,AXIS
Payment of Rs.30892.00 successful to LIC PREMIUM via UPI Ref 821880172377,NaN,821880172377,30892.00,Debit,NaN,LIC PREMIUM VIA UPI,Recharge,NaN
Payment of Rs.45372.00 successful to MAMAEARTH INDIA via UPI Ref 204266092744,NaN,204266092744,45372.00,Debit,NaN,MAMAEARTH INDIA VIA UPI,Recharge,NaN
"Dear KOTAK User, your A/c X3905-credited by Rs.46552.24 on 22Feb26 transfer from SWIGGY LIMITED Ref No 693735912050 -KOTAK",X3905,693735912050,46552.24,Credit,22Feb26,NaN,Miscellaneous,KOTAK
"Dear HDFC User, your A/c X7860-credited by Rs.24887.05 on 02Jan26 transfer from PHYSICS WALLAH Ref No 581217503237 -PNB",X7860,581217503237,24887.05,Credit,02Jan26,NaN,Miscellaneous,HDFC
"Dear KOTAK User, your A/c X8216-credited by Rs.29926.05 on 25Sep26 transfer from BYJUS LEARNING Ref No 633085044486 -HDFC",X8216,633085044486,29926.05,Credit,25Sep26,NaN,Miscellaneous,HDFC
UPI Txn Successful. Rs.15777.00 debited from A/c XX3104 towards Rahul Sharma Ref 366983016665,XX3104,366983016665,15777.00,Debit,NaN,NaN,Miscellaneous,NaN
"Dear KOTAK User, your A/c X5311-credited by Rs.32644.63 on 22Mar26 transfer from GROWW INVESTMENTS Ref No 318381995135 -HDFC",X5311,318381995135,32644.63,Credit,22Mar26,NaN,Miscellaneous,HDFC
Dear UPI user A/C X4817 debited by 1296.00 on date 24Apr26 trf to RELIANCE DIGITAL Refno 902886341506 If not u? call-1800111109 - SBI,X4817,902886341506,1296.00,Debit,24Apr26,RELIANCE DIGITAL,Electronics,SBI
"Dear SBI User, your A/c X2847-credited by Rs.4350.34 on 11Aug26 transfer from UPSTOX SECURITIES Ref No 637941761586 -ICICI",X2847,637941761586,4350.34,Credit,11Aug26,NaN,Miscellaneous,SBI
"Dear PNB User, your A/c X6607-credited by Rs.2713.98 on 23Jun26 transfer from SWIGGY LIMITED Ref No 218289654899 -PNB",X6607,218289654899,2713.98,Credit,23Jun26,NaN,Miscellaneous,PNB
"Dear ICICI User, your A/c X8551-credited by Rs.44156.79 on 04Aug26 transfer from ZERODHA BROKING LTD Ref No 105791939928 -KOTAK",X8551,105791939928,44156.79,Credit,04Aug26,NaN,Miscellaneous,ICICI
"Dear ICICI User, your A/c X7617-credited by Rs.5868.14 on 28May26 transfer from UNACADEMY Ref No 689039779881 -KOTAK",X7617,689039779881,5868.14,Credit,28May26,NaN,Miscellaneous,ICICI
Payment of Rs.33044.00 successful to LAKME SALON via UPI Ref 377022075106,NaN,377022075106,33044.00,Debit,NaN,LAKME SALON VIA UPI,Recharge,NaN
"Dear ICICI User, your A/c X5336-credited by Rs.8767.97 on 20Oct26 transfer from CRED PAYMENTS Ref No 977372279061 -AXIS",X5336,977372279061,8767.97,Credit,20Oct26,NaN,Miscellaneous,ICICI
Your A/c XX9646 is debited by Rs.22125.00 on 30May26 towards PURPLLE - ICICI Bank,XX9646,NaN,22125.00,Debit,30May26,NaN,Miscellaneous,ICICI
A/c XX7465 debited by Rs.36387.00 for NETFLIX INDIA on 04Apr26 UTR 557882156018,XX7465,557882156018,36387.00,Debit,04Apr26,NETFLIX INDIA,Entertainment,NaN
Dear UPI user A/C X5641 debited by 11388.00 on date 17Apr26 trf to AIRTEL PREPAID Refno 787810546998 If not u? call-1800111109 - SBI,X5641,787810546998,11388.00,Debit,17Apr26,AIRTEL PREPAID,Recharge,SBI
A/c XX5391 debited by Rs.30294.00 for RAPIDO RIDE on 21Jan26 UTR 823288511128,XX5391,823288511128,30294.00,Debit,21Jan26,RAPIDO RIDE,Travel,NaN
"Dear KOTAK User, your A/c X5877-credited by Rs.22643.2 on 07Sep26 transfer from PAYTM PAYMENTS BANK Ref No 481147345746 -PNB",X5877,481147345746,22643.2,Credit,07Sep26,NaN,Miscellaneous,PNB
Your A/c XX9319 is debited by Rs.13569.00 on 09Jun26 towards SWIGGY LIMITED - ICICI Bank,XX9319,NaN,13569.00,Debit,09Jun26,NaN,Miscellaneous,ICICI
"Dear SBI User, your A/c X7468-credited by Rs.7530.33 on 16Feb26 transfer from RAZORPAY SOFTWARE PVT LTD Ref No 936585689333 -AXIS",X7468,936585689333,7530.33,Credit,16Feb26,NaN,Miscellaneous,SBI
Dear UPI user A/C X2813 debited by 22915.00 on date 06Jan26 trf to OLA CABS Refno 512149987605 If not u? call-1800111109 - SBI,X2813,512149987605,22915.00,Debit,06Jan26,OLA CABS,Travel,SBI
Dear UPI user A/C X1735 debited by 18574.00 on date 08Jun26 trf to DMART READY Refno 992103860101 If not u? call-1800111109 - SBI,X1735,992103860101,18574.00,Debit,08Jun26,DMART READY,Groceries,SBI
UPI Txn Successful. Rs.9760.00 debited from A/c XX8533 towards GROWW ACCOUNT Ref 268604948295,XX8533,268604948295,9760.00,Debit,NaN,NaN,Miscellaneous,NaN
"Dear PNB User, your A/c X4536-credited by Rs.23942.39 on 20Nov26 transfer from PHYSICS WALLAH Ref No 787308400451 -PNB",X4536,787308400451,23942.39,Credit,20Nov26,NaN,Miscellaneous,PNB
UPI Txn Successful. Rs.46363.00 debited from A/c XX7001 towards SPOTIFY INDIA Ref 333921143391,XX7001,333921143391,46363.00,Debit,NaN,NaN,Miscellaneous,NaN
INR 11636.00 spent using UPI at COURSERA LEARNING Ref No 669013873548 on 02Feb26. Avl Bal XXXX,NaN,669013873548,11636.00,Debit,02Feb26,COURSERA LEARNING,Education,NaN
"Dear ICICI User, your A/c X4735-credited by Rs.24684.89 on 14Sep26 transfer from ZERODHA BROKING LTD Ref No 240630910804 -SBI",X4735,240630910804,24684.89,Credit,14Sep26,NaN,Miscellaneous,SBI
Payment of Rs.6280.00 successful to FLIPKART INTERNET via UPI Ref 620167026853,NaN,620167026853,6280.00,Debit,NaN,FLIPKART INTERNET VIA UPI,Shopping,NaN
INR 38553.00 spent using UPI at DISNEY HOTSTAR Ref No 457168125209 on 04Jun26. Avl Bal XXXX,NaN,457168125209,38553.00,Debit,04Jun26,DISNEY HOTSTAR,Entertainment,NaN
"Dear PNB User, your A/c X8801-credited by Rs.12072.61 on 02Oct26 transfer from CRED PAYMENTS Ref No 575079360610 -ICICI",X8801,575079360610,12072.61,Credit,02Oct26,NaN,Miscellaneous,ICICI
"Dear SBI User, your A/c X2023-credited by Rs.17003.53 on 06Jul26 transfer from GOOGLE INDIA DIGITAL SERVICES PVT LTD Ref No 495231396231 -AXIS",X2023,495231396231,17003.53,Credit,06Jul26,NaN,Miscellaneous,SBI
"Dear AXIS User, your A/c X8836-credited by Rs.14342.79 on 28Dec26 transfer from CRED PAYMENTS Ref No 331246890750 -ICICI",X8836,331246890750,14342.79,Credit,28Dec26,NaN,Miscellaneous,ICICI
Dear UPI user A/C X6617 debited by 32109.00 on date 16Mar26 trf to ZOMATO Refno 945046620633 If not u? call-1800111109 - SBI,X6617,945046620633,32109.00,Debit,16Mar26,ZOMATO,Food,SBI
"Dear PNB User, your A/c X5025-credited by Rs.49594.75 on 15Mar26 transfer from PAYTM PAYMENTS BANK Ref No 826848461226 -KOTAK",X5025,826848461226,49594.75,Credit,15Mar26,NaN,Miscellaneous,PNB
Dear UPI user A/C X1094 debited by 40436.00 on date 13Apr26 trf to HDFC LIFE INSURANCE Refno 249467700168 If not u? call-1800111109 - SBI,X1094,249467700168,40436.00,Debit,13Apr26,HDFC LIFE INSURANCE,Insurance,SBI
Payment of Rs.33782.00 successful to Amit Kumar via UPI Ref 964900772733,NaN,964900772733,33782.00,Debit,NaN,AMIT KUMAR VIA UPI,Recharge,NaN
"Dear PNB User, your A/c X6342-credited by Rs.5320.73 on 04Apr26 transfer from BLINKIT GROCERIES Ref No 108230417183 -PNB",X6342,108230417183,5320.73,Credit,04Apr26,NaN,Miscellaneous,PNB
Payment of Rs.34290.00 successful to ISKCON via UPI Ref 581952985495,NaN,581952985495,34290.00,Debit,NaN,ISKCON VIA UPI,Recharge,NaN
"Dear PNB User, your A/c X7398-credited by Rs.8808.18 on 04May26 transfer from UPSTOX SECURITIES Ref No 686473579592 -ICICI",X7398,686473579592,8808.18,Credit,04May26,NaN,Miscellaneous,ICICI
"Dear HDFC User, your A/c X1086-credited by Rs.12868.98 on 08Mar26 transfer from UNACADEMY Ref No 308064576032 -AXIS",X1086,308064576032,12868.98,Credit,08Mar26,NaN,Miscellaneous,HDFC
Rs.4650.00 debited from A/c XX3235 on 15Mar26 towards SPOTIFY INDIA UPI Ref 454398069425. HDFC Bank,XX3235,454398069425,4650.00,Debit,15Mar26,SPOTIFY INDIA,Entertainment,HDFC
UPI Txn Successful. Rs.17059.00 debited from A/c XX1087 towards CULT FIT Ref 145348316240,XX1087,145348316240,17059.00,Debit,NaN,NaN,Miscellaneous,NaN
A/c XX1178 debited by Rs.25081.00 for PM CARES FUND on 05Feb26 UTR 104807361606,XX1178,104807361606,25081.00,Debit,05Feb26,PM CARES FUND,Donation,NaN
"Dear HDFC User, your A/c X4485-credited by Rs.11547.81 on 03Aug26 transfer from PAYTM PAYMENTS BANK Ref No 251438498077 -AXIS",X4485,251438498077,11547.81,Credit,03Aug26,NaN,Miscellaneous,HDFC
"Dear SBI User, your A/c X6703-credited by Rs.3864.19 on 15May26 transfer from SWIGGY LIMITED Ref No 940640630729 -AXIS",X6703,940640630729,3864.19,Credit,15May26,NaN,Miscellaneous,SBI
Transaction successful. Rs.26442.00 transferred to HP PETROL PUMP Ref No 565124616998,NaN,565124616998,26442.00,Debit,NaN,HP PETROL PUMP,Fuel,NaN
Your A/c XX3465 is debited by Rs.24031.00 on 01May26 towards AIRTEL PREPAID - ICICI Bank,XX3465,NaN,24031.00,Debit,01May26,NaN,Miscellaneous,ICICI
"Dear HDFC User, your A/c X6177-credited by Rs.12236.3 on 17Jun26 transfer from ANGEL ONE LIMITED Ref No 150561214632 -ICICI",X6177,150561214632,12236.3,Credit,17Jun26,NaN,Miscellaneous,HDFC
"Dear ICICI User, your A/c X8524-credited by Rs.6759.99 on 22Aug26 transfer from ZERODHA BROKING LTD Ref No 278348706891 -PNB",X8524,278348706891,6759.99,Credit,22Aug26,NaN,Miscellaneous,ICICI
"Dear AXIS User, your A/c X8377-credited by Rs.47811.79 on 20Apr26 transfer from SWIGGY LIMITED Ref No 661236107289 -PNB",X8377,661236107289,47811.79,Credit,20Apr26,NaN,Miscellaneous,AXIS
"Dear SBI User, your A/c X7344-credited by Rs.19365.98 on 11Jul26 transfer from CRED PAYMENTS Ref No 595208277059 -PNB",X7344,595208277059,19365.98,Credit,11Jul26,NaN,Miscellaneous,SBI
Your A/c XX5610 is debited by Rs.26435.00 on 29Jan26 towards RAPIDO RIDE - ICICI Bank,XX5610,NaN,26435.00,Debit,29Jan26,NaN,Miscellaneous,ICICI
A/c XX2750 debited by Rs.43721.00 for LAKME SALON on 16Jun26 UTR 112654972120,XX2750,112654972120,43721.00,Debit,16Jun26,LAKME SALON,Beauty,NaN
Dear UPI user A/C X7550 debited by 43518.00 on date 13Jan26 trf to OLA CABS Refno 406826388651 If not u? call-1800111109 - SBI,X7550,406826388651,43518.00,Debit,13Jan26,OLA CABS,Travel,SBI
UPI Txn Successful. Rs.33858.00 debited from A/c XX4299 towards PHYSICS WALLAH Ref 915494517087,XX4299,915494517087,33858.00,Debit,NaN,NaN,Miscellaneous,NaN
UPI Txn Successful. Rs.8523.00 debited from A/c XX1577 towards BIGBASKET Ref 442649835131,XX1577,442649835131,8523.00,Debit,NaN,NaN,Miscellaneous,NaN
Rs.22081.00 debited from A/c XX7984 on 17Feb26 towards FLIPKART INTERNET UPI Ref 501029218041. HDFC Bank,XX7984,501029218041,22081.00,Debit,17Feb26,FLIPKART INTERNET,Shopping,HDFC
"Dear KOTAK User, your A/c X6164-credited by Rs.18972.82 on 11Jul26 transfer from RAZORPAY SOFTWARE PVT LTD Ref No 330899286138 -HDFC",X6164,330899286138,18972.82,Credit,11Jul26,NaN,Miscellaneous,HDFC
UPI Txn Successful. Rs.33698.00 debited from A/c XX3533 towards AMAZON PAY Ref 431647972735,XX3533,431647972735,33698.00,Debit,NaN,NaN,Miscellaneous,NaN
"Dear AXIS User, your A/c X9428-credited by Rs.706.05 on 25Nov26 transfer from AMAZON PAY INDIA Ref No 349474417108 -PNB",X9428,349474417108,706.05,Credit,25Nov26,NaN,Miscellaneous,AXIS
INR 44356.00 spent using UPI at VIJAY SALES Ref No 541574183464 on 16Jun26. Avl Bal XXXX,NaN,541574183464,44356.00,Debit,16Jun26,VIJAY SALES,Recharge,NaN
"Dear HDFC User, your A/c X1184-credited by Rs.8752.89 on 11Jan26 transfer from NETFLIX INDIA Ref No 929551680049 -HDFC",X1184,929551680049,8752.89,Credit,11Jan26,NaN,Miscellaneous,HDFC
"Dear HDFC User, your A/c X9955-credited by Rs.37471.03 on 22Jan26 transfer from SPOTIFY INDIA Ref No 816120170297 -HDFC",X9955,816120170297,37471.03,Credit,22Jan26,NaN,Miscellaneous,HDFC
Your A/c XX2242 is debited by Rs.47272.00 on 12Apr26 towards HP PETROL PUMP - ICICI Bank,XX2242,NaN,47272.00,Debit,12Apr26,NaN,Miscellaneous,ICICI
"Dear HDFC User, your A/c X9602-credited by Rs.15679.04 on 17Jul26 transfer from ZOMATO LIMITED Ref No 569773250234 -KOTAK",X9602,569773250234,15679.04,Credit,17Jul26,LIMITED,Miscellaneous,HDFC
"Dear ICICI User, your A/c X5768-credited by Rs.48810.03 on 05Jun26 transfer from FLIPKART INTERNET PVT LTD Ref No 120254332518 -PNB",X5768,120254332518,48810.03,Credit,05Jun26,NaN,Miscellaneous,ICICI
"Dear SBI User, your A/c X4868-credited by Rs.22075.77 on 18Sep26 transfer from PHONEPE PRIVATE LIMITED Ref No 102415727240 -PNB",X4868,102415727240,22075.77,Credit,18Sep26,NaN,Miscellaneous,SBI
INR 9696.00 spent using UPI at MAMAEARTH INDIA Ref No 980798148928 on 08Jan26. Avl Bal XXXX,NaN,980798148928,9696.00,Debit,08Jan26,MAMAEARTH INDIA,Beauty,NaN
"Dear HDFC User, your A/c X4197-credited by Rs.33080.62 on 26Apr26 transfer from BIGBASKET ONLINE Ref No 390884893264 -KOTAK",X4197,390884893264,33080.62,Credit,26Apr26,NaN,Miscellaneous,HDFC
"Dear KOTAK User, your A/c X2757-credited by Rs.15888.29 on 04Nov26 transfer from SPOTIFY INDIA Ref No 510514181267 -SBI",X2757,510514181267,15888.29,Credit,04Nov26,NaN,Miscellaneous,SBI
"Dear PNB User, your A/c X2769-credited by Rs.17756.34 on 15Aug26 transfer from PAYTM PAYMENTS BANK Ref No 290907083438 -ICICI",X2769,290907083438,17756.34,Credit,15Aug26,NaN,Miscellaneous,ICICI
"Dear KOTAK User, your A/c X7097-credited by Rs.4442.72 on 14Mar26 transfer from BLINKIT GROCERIES Ref No 548658848693 -HDFC",X7097,548658848693,4442.72,Credit,14Mar26,NaN,Miscellaneous,HDFC
Dear UPI user A/C X6375 debited by 16733.00 on date 23Jun26 trf to CROMA Refno 228320953097 If not u? call-1800111109 - SBI,X6375,228320953097,16733.00,Debit,23Jun26,CROMA,Electronics,SBI
INR 15341.00 spent using UPI at SWIGGY LIMITED Ref No 704412268443 on 20Mar26. Avl Bal XXXX,NaN,704412268443,15341.00,Debit,20Mar26,SWIGGY LIMITED,Food,NaN
"Dear PNB User, your A/c X5860-credited by Rs.10992.22 on 13Aug26 transfer from UPSTOX SECURITIES Ref No 901805843019 -KOTAK",X5860,901805843019,10992.22,Credit,13Aug26,NaN,Miscellaneous,PNB
"Dear AXIS User, your A/c X9219-credited by Rs.8175.11 on 28Jun26 transfer from BIGBASKET ONLINE Ref No 393895231819 -AXIS",X9219,393895231819,8175.11,Credit,28Jun26,NaN,Miscellaneous,AXIS
Transaction successful. Rs.29950.00 transferred to ZERODHA FUNDING Ref No 691226172209,NaN,691226172209,29950.00,Debit,NaN,ZERODHA FUNDING,Finance,NaN
INR 17426.00 spent using UPI at Priya Singh Ref No 771534423356 on 06May26. Avl Bal XXXX,NaN,771534423356,17426.00,Debit,06May26,PRIYA SINGH,Personal Transfer,NaN
"Dear PNB User, your A/c X3793-credited by Rs.45841.85 on 17Jul26 transfer from PHONEPE PRIVATE LIMITED Ref No 643037968411 -AXIS",X3793,643037968411,45841.85,Credit,17Jul26,NaN,Miscellaneous,AXIS
Dear UPI user A/C X3552 debited by 1780.00 on date 10Apr26 trf to LAKME SALON Refno 786565061792 If not u? call-1800111109 - SBI,X3552,786565061792,1780.00,Debit,10Apr26,LAKME SALON,Beauty,SBI
"Dear SBI User, your A/c X3241-credited by Rs.27713.66 on 19Mar26 transfer from BLINKIT GROCERIES Ref No 162469496847 -PNB",X3241,162469496847,27713.66,Credit,19Mar26,NaN,Miscellaneous,SBI
"Dear KOTAK User, your A/c X3455-credited by Rs.37140.19 on 24Mar26 transfer from BLINKIT GROCERIES Ref No 611074148895 -PNB",X3455,611074148895,37140.19,Credit,24Mar26,NaN,Miscellaneous,PNB
"Dear AXIS User, your A/c X4238-credited by Rs.2033.99 on 07Nov26 transfer from ANGEL ONE LIMITED Ref No 355574860037 -PNB",X4238,355574860037,2033.99,Credit,07Nov26,NaN,Miscellaneous,AXIS
A/c XX5991 debited by Rs.18697.00 for BIGBASKET on 21Feb26 UTR 355463826472,XX5991,355463826472,18697.00,Debit,21Feb26,BIGBASKET,Groceries,NaN
INR 2039.00 spent using UPI at UDEMY INDIA Ref No 214604360446 on 23Mar26. Avl Bal XXXX,NaN,214604360446,2039.00,Debit,23Mar26,UDEMY INDIA,Education,NaN
Rs.6990.00 debited from A/c XX6459 on 23Mar26 towards ZEPTO MARKETPLAC UPI Ref 627590889005. HDFC Bank,XX6459,627590889005,6990.00,Debit,23Mar26,ZEPTO MARKETPLAC,Groceries,HDFC
Rs.33370.00 debited from A/c XX1699 on 26Mar26 towards CULT FIT UPI Ref 915192715555. HDFC Bank,XX1699,915192715555,33370.00,Debit,26Mar26,CULT FIT,Fitness,HDFC
"Dear ICICI User, your A/c X6484-credited by Rs.12867.73 on 09May26 transfer from SPOTIFY INDIA Ref No 714783835394 -AXIS",X6484,714783835394,12867.73,Credit,09May26,NaN,Miscellaneous,ICICI
"Dear SBI User, your A/c X6010-credited by Rs.28294.89 on 18May26 transfer from PAYTM PAYMENTS BANK Ref No 208245104487 -PNB",X6010,208245104487,28294.89,Credit,18May26,NaN,Miscellaneous,SBI
A/c XX2413 debited by Rs.17168.00 for AMAZON PAY on 06Apr26 UTR 127864168467,XX2413,127864168467,17168.00,Debit,06Apr26,AMAZON PAY,Shopping,NaN
UPI Txn Successful. Rs.40650.00 debited from A/c XX4448 towards GOLD GYM Ref 138810807754,XX4448,138810807754,40650.00,Debit,NaN,NaN,Miscellaneous,NaN
Payment of Rs.14009.00 successful to DISNEY HOTSTAR via UPI Ref 814692151723,NaN,814692151723,14009.00,Debit,NaN,DISNEY HOTSTAR VIA UPI,Recharge,NaN
Payment of Rs.41215.00 successful to MYNTRA DESIGNS via UPI Ref 811495607926,NaN,811495607926,41215.00,Debit,NaN,MYNTRA DESIGNS VIA UPI,Shopping,NaN
Rs.2299.00 debited from A/c XX2976 on 04Mar26 towards NETFLIX INDIA UPI Ref 435645797175. HDFC Bank,XX2976,435645797175,2299.00,Debit,04Mar26,NETFLIX INDIA,Entertainment,HDFC
UPI Txn Successful. Rs.697.00 debited from A/c XX6332 towards SWIGGY LIMITED Ref 520182429635,XX6332,520182429635,697.00,Debit,NaN,NaN,Miscellaneous,NaN
Payment of Rs.16120.00 successful to INSTAMART via UPI Ref 174152024296,NaN,174152024296,16120.00,Debit,NaN,INSTAMART VIA UPI,Groceries,NaN
"Dear SBI User, your A/c X5461-credited by Rs.8662.16 on 05Mar26 transfer from ANGEL ONE LIMITED Ref No 615651538672 -AXIS",X5461,615651538672,8662.16,Credit,05Mar26,NaN,Miscellaneous,SBI
"Dear PNB User, your A/c X7984-credited by Rs.2670.45 on 17Jan26 transfer from BYJUS LEARNING Ref No 693333147944 -PNB",X7984,693333147944,2670.45,Credit,17Jan26,NaN,Miscellaneous,PNB
Rs.45186.00 debited from A/c XX4149 on 17Mar26 towards LANDLORD UPI Ref 273424601798. HDFC Bank,XX4149,273424601798,45186.00,Debit,17Mar26,LANDLORD,Rent,HDFC
"Dear SBI User, your A/c X2499-credited by Rs.33308.15 on 19Apr26 transfer from SWIGGY LIMITED Ref No 528938821167 -ICICI",X2499,528938821167,33308.15,Credit,19Apr26,NaN,Miscellaneous,SBI
"Dear HDFC User, your A/c X6105-credited by Rs.32653.16 on 21Apr26 transfer from SPOTIFY INDIA Ref No 848858374221 -HDFC",X6105,848858374221,32653.16,Credit,21Apr26,NaN,Miscellaneous,HDFC
Your A/c XX3970 is debited by Rs.44775.00 on 04Jun26 towards DISNEY HOTSTAR - ICICI Bank,XX3970,NaN,44775.00,Debit,04Jun26,NaN,Miscellaneous,ICICI
Transaction successful. Rs.41661.00 transferred to ZEPTO MARKETPLAC Ref No 785000059767,NaN,785000059767,41661.00,Debit,NaN,ZEPTO MARKETPLAC,Groceries,NaN
"Dear ICICI User, your A/c X4716-credited by Rs.4144.55 on 11Nov26 transfer from AMAZON PAY INDIA Ref No 291174431889 -ICICI",X4716,291174431889,4144.55,Credit,11Nov26,NaN,Miscellaneous,ICICI
A/c XX6319 debited by Rs.7966.00 for NETFLIX INDIA on 28Apr26 UTR 289170494726,XX6319,289170494726,7966.00,Debit,28Apr26,NETFLIX INDIA,Entertainment,NaN
Rs.20859.00 debited from A/c XX6200 on 04Jan26 towards VIJAY SALES UPI Ref 435115314504. HDFC Bank,XX6200,435115314504,20859.00,Debit,04Jan26,VIJAY SALES,Recharge,HDFC
"Dear HDFC User, your A/c X8703-credited by Rs.41860.66 on 18Mar26 transfer from PHONEPE PRIVATE LIMITED Ref No 479651869964 -HDFC",X8703,479651869964,41860.66,Credit,18Mar26,NaN,Miscellaneous,HDFC
Payment of Rs.33197.00 successful to DISNEY HOTSTAR via UPI Ref 221943274678,NaN,221943274678,33197.00,Debit,NaN,DISNEY HOTSTAR VIA UPI,Recharge,NaN
UPI Txn Successful. Rs.14911.00 debited from A/c XX7946 towards HDFC LIFE INSURANCE Ref 721789279414,XX7946,721789279414,14911.00,Debit,NaN,NaN,Miscellaneous,HDFC
Payment of Rs.45666.00 successful to FLIPKART INTERNET via UPI Ref 652830716631,NaN,652830716631,45666.00,Debit,NaN,FLIPKART INTERNET VIA UPI,Shopping,NaN
"Dear PNB User, your A/c X6016-credited by Rs.46159.08 on 09Feb26 transfer from ZERODHA BROKING LTD Ref No 199421722732 -HDFC",X6016,199421722732,46159.08,Credit,09Feb26,NaN,Miscellaneous,HDFC
Rs.37212.00 debited from A/c XX3284 on 23Mar26 towards PM CARES FUND UPI Ref 520626258183. HDFC Bank,XX3284,520626258183,37212.00,Debit,23Mar26,PM CARES FUND,Donation,HDFC
UPI Txn Successful. Rs.7793.00 debited from A/c XX9353 towards BIGBASKET Ref 689648139968,XX9353,689648139968,7793.00,Debit,NaN,NaN,Miscellaneous,NaN
"Dear PNB User, your A/c X2185-credited by Rs.29256.16 on 03Oct26 transfer from GROWW INVESTMENTS Ref No 112209112691 -HDFC",X2185,112209112691,29256.16,Credit,03Oct26,NaN,Miscellaneous,HDFC
Payment of Rs.5319.00 successful to SHELL INDIA via UPI Ref 588601366523,NaN,588601366523,5319.00,Debit,NaN,SHELL INDIA VIA UPI,Recharge,NaN
"Dear SBI User, your A/c X7031-credited by Rs.48994.17 on 10Jan26 transfer from FLIPKART INTERNET PVT LTD Ref No 289944754598 -HDFC",X7031,289944754598,48994.17,Credit,10Jan26,NaN,Miscellaneous,SBI
"Dear AXIS User, your A/c X1519-credited by Rs.11735.74 on 19Oct26 transfer from RAZORPAY SOFTWARE PVT LTD Ref No 687237837871 -PNB",X1519,687237837871,11735.74,Credit,19Oct26,NaN,Miscellaneous,AXIS
"Dear PNB User, your A/c X2331-credited by Rs.21312.45 on 09Apr26 transfer from ANGEL ONE LIMITED Ref No 621762463331 -KOTAK",X2331,621762463331,21312.45,Credit,09Apr26,NaN,Miscellaneous,PNB
"Dear ICICI User, your A/c X9391-credited by Rs.3466.48 on 04Jul26 transfer from RAZORPAY SOFTWARE PVT LTD Ref No 172935248514 -ICICI",X9391,172935248514,3466.48,Credit,04Jul26,NaN,Miscellaneous,ICICI
"Dear SBI User, your A/c X2129-credited by Rs.22918.41 on 28Dec26 transfer from BIGBASKET ONLINE Ref No 104417237579 -PNB",X2129,104417237579,22918.41,Credit,28Dec26,NaN,Miscellaneous,SBI
"Dear PNB User, your A/c X6762-credited by Rs.21544.62 on 16Jun26 transfer from PHYSICS WALLAH Ref No 594831559878 -KOTAK",X6762,594831559878,21544.62,Credit,16Jun26,NaN,Miscellaneous,PNB
A/c XX5989 debited by Rs.45393.00 for GOLD GYM on 05Apr26 UTR 834268793809,XX5989,834268793809,45393.00,Debit,05Apr26,GOLD GYM,Fitness,NaN
"Dear SBI User, your A/c X4007-credited by Rs.24946.89 on 03Oct26 transfer from PAYTM PAYMENTS BANK Ref No 541310729095 -PNB",X4007,541310729095,24946.89,Credit,03Oct26,NaN,Miscellaneous,SBI
"Dear KOTAK User, your A/c X7269-credited by Rs.43507.12 on 17Jun26 transfer from RAZORPAY SOFTWARE PVT LTD Ref No 108286033252 -ICICI",X7269,108286033252,43507.12,Credit,17Jun26,NaN,Miscellaneous,ICICI
INR 45003.00 spent using UPI at ZERODHA FUNDING Ref No 151908523771 on 11Mar26. Avl Bal XXXX,NaN,151908523771,45003.00,Debit,11Mar26,ZERODHA FUNDING,Finance,NaN
"Dear ICICI User, your A/c X2087-credited by Rs.49297.7 on 10Jun26 transfer from FLIPKART INTERNET PVT LTD Ref No 148396468584 -KOTAK",X2087,148396468584,49297.7,Credit,10Jun26,NaN,Miscellaneous,ICICI
"Dear KOTAK User, your A/c X3073-credited by Rs.48933.12 on 24Dec26 transfer from CRED PAYMENTS Ref No 348398449164 -KOTAK",X3073,348398449164,48933.12,Credit,24Dec26,NaN,Miscellaneous,KOTAK
"Dear HDFC User, your A/c X4481-credited by Rs.11861.4 on 12Apr26 transfer from BYJUS LEARNING Ref No 684083759058 -SBI",X4481,684083759058,11861.4,Credit,12Apr26,NaN,Miscellaneous,SBI
